"Município";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"211140 SAO LUIS GONZAGA DO MARANHAO";"450";"254";"189";"242";"995";"1274";"3404"
"211150 SAO MATEUS DO MARANHAO";"781";"1270";"1065";"1937";"3686";"1727";"10466"
"211153 SAO PEDRO DA AGUA BRANCA";"403";"2832";"1533";"1371";"807";"445";"7391"
"211157 SAO PEDRO DOS CRENTES";"107";"140";"166";"412";"538";"310";"1673"
"211160 SAO RAIMUNDO DAS MANGABEIRAS";"470";"680";"605";"1629";"1384";"1184";"5952"
"211163 SAO RAIMUNDO DO DOCA BEZERRA";"206";"174";"161";"163";"354";"391";"1449"
"211167 SAO ROBERTO";"75";"185";"83";"124";"463";"345";"1275"
"211170 SAO VICENTE FERRER";"827";"378";"782";"449";"1046";"509";"3991"
"211172 SATUBINHA";"118";"177";"261";"191";"392";"977";"2116"
"211174 SENADOR ALEXANDRE COSTA";"209";"130";"354";"615";"551";"625";"2484"
"211176 SENADOR LA ROCQUE";"819";"729";"628";"854";"1112";"1591";"5733"
"211178 SERRANO DO MARANHAO";"252";"142";"357";"674";"585";"414";"2424"
"211180 SITIO NOVO";"396";"980";"878";"1203";"3179";"1458";"8094"
"211190 SUCUPIRA DO NORTE";"311";"302";"343";"358";"734";"935";"2983"
"211195 SUCUPIRA DO RIACHAO";"120";"249";"278";"200";"479";"404";"1730"
"211200 TASSO FRAGOSO";"178";"250";"673";"608";"958";"488";"3155"
"211210 TIMBIRAS";"297";"969";"935";"960";"1168";"951";"5280"
"211220 TIMON";"2326";"4357";"4403";"6154";"11220";"5135";"33595"
